353624 476677
138 45417 61
139 50132 60
140 339010 126
141 727 150
141 58282 113
141 97063 6
141 237121 64
141 335721 165
142 21615 63
145 337321 1
146 291198 45
147 244256 177
148 246349 2
149 306651 24
149 331454 176
150 320946 107
151 23949 134
151 96755 197
152 120382 105
152 245100 141
154 6767 158
155 255522 123
155 342333 153
156 203955 195
157 111949 189
157 239268 31
158 254451 186
158 317319 120
158 346754 2
159 67788 120
159 112928 22
160 180931 66
160 334017 131
161 127334 8
161 316434 151
162 89490 108
163 306498 40
164 151713 176
164 212606 196
165 182883 104
166 254692 106
166 272310 47
166 274299 27
167 231727 164
168 72985 17
168 108703 165
168 165116 174
169 171173 183
170 139062 3
170 238426 126
171 283952 166
171 317640 75
172 127550 73
172 189723 47
172 271737 49
174 97931 131
174 123973 84
174 237927 193
177 95869 100
177 123824 16
178 189212 121
178 315203 98
178 349469 71
179 137239 70
179 141444 65
180 63195 83
182 75984 185
182 80354 99
183 115268 60
183 238382 6
183 312351 62
186 162647 156
187 185049 110
187 325644 165
188 75349 106
188 221539 172
189 27636 150
190 170558 152
190 327422 132
191 253915 106
191 294375 72
192 7061 118
192 239326 112
194 87391 24
197 55082 143
198 49701 74
199 157586 126
199 169148 77
199 250068 43
199 271251 33
201 230896 184
201 328870 116
203 35941 145
203 134624 88
205 57890 120
205 162622 26
206 9186 85
206 166415 50
208 178316 180
208 313343 18
209 115483 91
209 220449 83
209 326234 65
210 71631 187
211 208001 191
213 69906 77
213 199930 172
214 106988 17
218 53992 125
220 154521 105
220 206777 32
220 340882 91
221 286218 89
221 343381 113
224 43447 25
224 83267 199
224 252684 189
225 3628 27
226 187285 151
226 246313 176
227 173143 161
230 146677 117
231 59805 54
233 200367 164
234 82732 28
236 44180 180
236 169469 194
236 349746 83
237 195436 34
237 255517 125
237 257031 15
238 267 70
238 118199 28
238 314883 30
240 276682 141
243 225337 4
244 77634 46
244 210445 106
246 148315 21
247 54836 133
247 70954 49
247 94539 147
248 201598 188
250 60179 66
250 111148 102
251 125753 110
252 127543 81
253 19646 20
255 178253 145
256 94244 166
256 114443 98
256 199100 134
257 19450 196
257 53888 6
257 260620 124
258 229 156
258 37881 92
260 224581 161
260 306836 101
262 22042 8
262 33955 9
265 341492 15
266 337501 119
267 321322 94
268 44696 39
268 145884 13
268 173089 152
268 314076 96
268 348349 71
269 14450 138
269 170227 141
271 67224 173
272 90163 51
273 49979 144
273 52147 58
273 114492 158
273 118470 195
274 57626 196
274 76421 40
274 181917 115
274 260442 38
276 160708 166
278 328083 93
279 297314 166
280 29208 114
281 302319 174
283 202647 200
285 153751 115
285 339190 67
287 22270 62
288 331870 39
289 26036 180
290 76896 34
290 232996 88
291 265694 89
292 348363 157
294 305131 69
296 154848 51
297 168964 139
297 341547 110
298 36016 35
298 337453 112
299 52995 33
301 80718 67
303 210427 144
303 279792 23
304 131841 47
305 49511 60
305 125696 8
305 223443 171
307 69182 101
310 26660 179
310 156271 49
310 206063 70
310 219552 126
311 131269 121
312 158812 10
314 76242 183
314 317130 137
315 43608 136
315 117990 149
315 238317 124
315 270140 147
317 263280 179
317 318041 67
318 28456 19
318 240281 42
318 351909 43
321 90687 55
321 131422 115
322 180279 181
323 182558 90
324 286362 142
326 1251 70
326 78854 106
326 220488 155
326 236544 184
327 60445 179
328 39022 128
328 94822 18
328 103356 146
329 32753 127
329 238384 177
330 18852 118
330 308679 144
330 317949 60
332 66492 18
332 98542 22
332 120317 161
332 170460 31
334 75530 127
334 300121 44
335 160236 45
335 165542 90
336 243421 135
337 123549 170
337 145386 15
337 290812 87
338 15824 79
338 36374 116
338 62705 43
340 231360 152
344 224378 177
345 262334 8
345 321589 3
346 37193 104
346 285548 181
348 108397 34
348 268427 193
349 268428 50
349 308585 130
351 320775 142
352 1129 1
352 300680 139
353 129089 77
354 225770 124
355 163116 168
355 277132 144
356 112368 165
356 178106 23
356 196502 147
357 89658 181
358 175706 6
359 135584 68
360 231680 22
361 220759 102
361 244571 93
363 256410 98
364 27030 12
365 76410 153
366 215815 189
368 95944 168
368 344650 135
369 341258 60
370 200891 190
370 314570 176
371 328108 136
372 200363 53
372 203694 178
373 117283 37
373 331303 122
374 192581 80
376 957 53
376 182349 35
378 137273 139
379 130839 28
379 175490 55
380 96264 23
383 84677 118
384 14322 45
384 199458 100
385 232431 64
386 343007 11
386 345285 60
387 12384 68
387 61481 56
387 249466 62
387 352395 120
389 107820 67
389 339892 17
390 146691 165
391 212313 32
394 250009 56
394 298101 142
394 327770 13
396 28785 66
396 65900 10
396 107248 27
396 210817 13
396 344867 189
397 169181 19
397 344393 86
398 58421 198
400 138558 11
400 172260 5
400 211316 47
400 214110 190
400 347520 48
401 129151 159
401 178895 139
402 11805 23
402 348609 137
403 75266 64
403 102058 148
404 30354 28
404 188457 164
405 55282 155
405 232882 91
405 254292 103
406 105075 67
407 270226 191
408 269511 121
409 78946 171
411 101762 181
411 235289 30
412 294132 74
414 67299 37
414 260418 185
415 212953 189
416 202617 159
417 314404 135
418 340963 68
420 275337 17
420 280182 148
421 84297 117
421 307085 154
422 285875 43
423 23041 199
423 93734 40
424 154690 165
426 235811 192
427 279135 47
429 57897 184
429 350642 89
431 87609 101
431 232285 129
431 254170 167
432 101498 77
432 138689 47
432 183464 195
432 225789 1
433 53207 156
435 120034 155
435 134163 132
436 325253 131
437 183317 47
437 225979 97
438 348592 117
439 3014 7
439 324292 51
440 197125 161
440 304734 152
441 57591 140
443 293897 11
443 318597 34
443 343992 151
444 11215 195
445 74951 49
445 231540 185
446 22455 142
446 347181 21
447 50060 29
447 77265 124
447 256455 188
448 131442 197
448 146920 41
448 152288 175
448 220779 125
448 226911 74
450 255845 106
451 241304 101
452 99368 196
452 220094 22
454 114937 200
457 45334 25
457 62842 83
457 161917 114
457 219768 20
458 28969 107
458 214277 2
459 124652 149
459 234938 160
460 67614 28
460 170653 4
460 177838 78
460 235400 152
461 38579 108
462 167902 86
462 197784 165
463 82406 25
463 137181 154
465 258604 147
465 295320 29
469 345267 199
471 12642 138
472 134133 44
472 264102 19
472 322008 27
473 301108 19
475 79223 161
475 112044 72
475 142993 73
476 339141 121
478 173318 8
478 352205 89
479 159589 157
479 175356 159
479 341745 51
481 67398 5
482 186308 71
482 311487 171
483 63057 134
484 277725 140
485 197384 31
485 213089 57
487 75813 153
489 67102 163
489 76214 94
489 136467 84
489 155090 108
489 292994 128
490 143639 121
490 187313 153
491 117887 116
491 141940 61
491 251524 11
492 207314 78
492 269907 190
492 274876 155
492 343167 47
493 133291 119
494 130415 81
495 164978 102
496 273613 186
497 30551 172
497 119303 15
497 323633 63
498 99855 105
498 217601 18
499 86704 159
500 70525 123
501 256997 4
501 311985 171
502 161529 109
503 171502 4
504 73880 154
506 215330 25
507 153846 7
507 322114 74
508 290801 185
509 188740 22
511 99577 150
512 68216 55
513 337122 157
515 313470 39
516 86526 81
516 287890 40
517 341365 5
519 141565 130
519 188329 10
521 31556 78
521 63138 7
522 330165 139
524 81674 186
524 109471 67
524 178822 113
524 307442 157
527 197145 170
527 265684 153
527 313439 141
528 67638 33
529 51645 127
530 103654 149
530 207333 28
530 231097 80
531 55425 46
531 62431 21
531 117543 180
531 262384 185
532 131074 105
532 185945 61
532 236343 30
532 243686 142
532 260630 117
532 262908 168
533 291628 118
533 334889 1
534 19372 135
534 160896 142
535 160119 105
535 269469 172
537 155441 137
537 311156 28
538 19513 178
538 93145 183
538 340337 117
540 69369 112
543 166382 131
543 186278 165
543 297493 33
544 270874 60
544 288506 124
545 137224 125
545 218729 73
547 65218 119
547 288082 51
548 2048 99
549 44195 82
549 239241 112
551 126665 186
553 95257 196
554 41295 44
554 215392 59
554 314756 81
556 105094 56
556 173172 197
556 235001 161
556 297112 116
556 331798 18
556 337930 170
557 266928 187
557 348068 24
558 35380 103
558 347656 191
561 43290 133
562 38260 53
562 241840 165
563 252866 11
564 170247 154
565 81909 12
565 99830 49
568 247936 20
569 192687 35
569 290599 160
570 195028 161
573 116815 151
574 330960 45
574 334938 175
576 28754 199
576 234853 122
578 55548 111
578 156901 1
580 13493 69
580 250472 80
581 81028 173
581 125755 58
581 195870 8
582 223716 102
582 326707 69
584 186162 64
584 261246 60
585 295864 158
586 27345 171
586 44867 20
587 114921 125
588 61138 51
588 228339 197
588 349086 1
590 159375 19
591 304052 84
591 309482 26
592 263517 194
593 12520 194
593 111244 181
595 138726 98
595 238517 112
595 313188 35
596 160915 87
596 212813 29
596 262378 68
597 261732 9
597 299446 110
597 338330 105
598 68999 51
598 145776 65
598 316542 144
599 346487 106
600 105242 104
601 99173 8
602 26478 73
602 296897 91
602 323765 72
603 63195 75
604 263073 118
605 108763 113
605 155066 108
606 141626 8
607 254528 187
610 55844 37
610 204023 200
610 312609 51
612 115734 187
612 116312 44
612 237286 15
612 337049 33
613 247259 177
613 344283 111
614 53356 35
615 87967 154
615 305566 113
616 258500 152
617 24323 140
618 308982 126
619 17353 58
620 2936 60
621 286081 32
622 21196 177
622 246138 199
623 86047 96
623 86632 185
624 10785 36
625 11763 55
626 61797 174
628 84434 165
629 167805 162
630 264011 31
630 353451 27
631 143313 6
631 291320 31
632 177167 119
633 281260 25
635 21744 112
637 80808 51
637 212394 5
638 296343 116
639 45759 145
639 298684 155
640 103198 139
640 181964 10
640 253256 127
641 201985 125
642 143997 92
642 183053 129
642 213176 30
642 235488 126
644 69775 13
647 321450 65
648 96908 195
648 332125 85
650 208221 55
651 41234 123
651 189289 71
652 272949 79
653 147255 182
656 111553 124
657 28535 111
657 163803 160
657 185289 194
657 299718 198
659 134831 183
660 73877 43
660 300808 171
663 331780 60
664 65030 180
664 104313 148
664 203223 56
664 204276 27
665 44983 164
665 77983 85
666 117666 114
666 171677 43
666 218730 112
667 227781 150
668 308633 8
669 3976 189
670 221624 5
671 230248 110
673 107996 98
673 136591 89
673 139282 21
673 270407 28
675 310263 64
675 350661 171
677 116595 198
677 253164 87
679 272284 76
680 228150 170
680 283785 28
681 54267 121
682 56133 153
682 188669 118
682 198352 26
683 75865 101
683 117839 49
684 188595 42
684 343257 169
685 100546 183
685 178658 152
686 232945 144
687 23461 76
687 189671 64
687 203339 42
687 264996 200
687 280061 26
689 848 27
689 4702 50
689 329318 123
690 178387 32
690 320723 133
691 109670 33
691 320070 22
692 248779 137
693 2290 176
693 31422 127
693 96520 168
693 100952 53
695 232010 134
695 288877 78
695 309826 18
696 54748 80
696 71795 154
696 220036 126
698 132965 187
698 223279 121
699 19060 36
700 21965 118
700 234719 167
702 74264 34
702 250398 55
703 112667 109
703 207613 35
704 255231 58
711 131118 169
711 171826 151
711 263179 35
712 332070 11
715 265309 71
717 57691 102
717 346403 185
718 35614 167
718 151970 84
718 176849 150
718 211349 47
720 54225 184
722 79842 162
722 255701 200
722 276939 147
724 159105 121
725 99789 98
725 233068 134
725 273714 69
726 203407 122
727 75029 181
728 128373 83
728 217751 170
729 279120 199
730 123757 103
731 248338 44
732 189469 139
733 232910 171
733 325151 168
734 250928 149
735 3448 76
736 343522 77
737 152069 44
739 170790 126
739 216391 36
739 335603 46
740 71881 69
740 190288 109
742 59041 93
743 139122 65
744 252086 200
745 280744 30
746 92168 74
746 350922 11
747 183584 101
747 189427 78
747 219963 168
748 35282 161
748 172312 131
748 179607 187
748 225270 13
749 220639 17
750 103410 59
750 263075 47
751 74024 31
751 98366 39
751 349137 21
752 273462 150
752 329441 29
753 2445 30
753 112497 163
753 255067 122
754 84804 149
754 243368 136
755 275068 57
756 26886 44
756 93023 164
756 104289 164
756 149477 104
756 349375 38
758 52792 12
758 58924 93
758 195190 42
759 47762 38
759 131070 128
759 154772 15
760 30069 178
760 187057 163
761 16443 92
761 26250 149
761 70867 196
762 44062 84
764 336781 107
765 201603 192
765 323465 137
766 272772 150
767 189513 139
768 61823 200
768 77700 130
768 138710 101
768 285774 189
768 320577 36
769 70571 164
771 67228 160
771 101157 194
772 62487 17
774 254142 190
774 316150 115
777 180623 80
777 228378 12
778 215351 76
779 131982 38
780 71888 46
781 98509 23
781 341145 88
784 12485 18
784 61128 124
784 326592 144
784 328870 111
785 311989 164
786 28130 173
786 128430 44
786 203039 137
787 224629 158
787 313553 105
788 120111 188
789 174398 32
789 227645 16
790 74911 58
790 246854 180
790 345454 105
791 7295 40
791 10915 131
791 349419 18
792 63523 66
792 163761 123
792 190842 35
792 222376 127
795 128011 75
795 170446 31
795 211140 182
796 89768 155
797 245869 30
797 342604 16
799 50852 127
799 67383 159
800 99007 118
800 290571 184
802 161939 149
802 284840 35
802 290848 102
802 339353 63
803 262577 94
803 271462 188
804 132609 166
804 142196 71
805 40018 93
805 123725 89
805 314050 104
806 95929 23
806 174282 2
807 190573 6
807 230957 135
809 173218 4
809 190664 16
809 312450 52
812 156139 180
813 50231 191
814 42111 13
815 175563 180
816 71871 138
817 286890 126
818 157617 83
818 293360 67
819 183412 181
820 262337 32
821 59983 126
822 26461 72
823 344932 78
824 177718 146
824 268796 105
825 145772 21
826 240292 117
826 274379 148
827 16727 177
827 95906 124
828 53919 106
829 204776 163
829 326665 92
830 20281 161
830 36963 38
830 185782 15
833 54921 3
836 113580 73
836 123277 145
836 149608 102
838 283460 158
838 332103 89
838 349494 21
839 62586 44
839 229801 123
840 134753 149
840 145365 86
841 76063 67
842 10092 7
846 303900 59
846 344181 143
847 71877 44
847 335297 170
848 33269 50
848 189094 124
850 175593 168
850 244545 97
850 335988 84
853 201025 29
854 249903 8
855 116067 130
855 201550 108
856 143748 169
857 156515 104
858 114941 193
858 213555 147
859 140736 147
859 202166 111
860 53575 47
860 214004 135
861 182230 31
862 36041 136
862 282531 129
864 15059 106
864 236457 75
864 303709 103
864 350411 180
865 221317 91
866 12955 155
867 84000 91
868 285165 74
869 224032 179
870 88868 146
871 242932 45
873 96916 115
874 308721 52
875 133971 92
876 322184 188
877 20569 66
877 242958 38
878 297486 23
879 241019 48
880 177601 170
882 242274 63
884 227369 49
885 47031 57
886 321291 91
887 142763 135
888 201606 133
888 234055 117
889 84122 51
889 104858 155
890 167493 150
893 65991 59
893 276357 44
894 241603 101
895 212286 60
895 220820 30
895 330232 192
895 343294 177
898 233472 11
898 307207 52
900 119196 41
900 186221 117
900 318619 149
901 302977 9
902 172417 10
905 68892 43
906 87385 177
908 84159 24
908 337483 37
909 50933 152
911 291520 41
911 306110 124
912 232892 54
913 57330 108
913 319463 9
914 131940 110
915 198202 139
915 223645 198
916 183062 46
916 209517 115
916 347462 158
918 90974 54
918 283942 116
918 288897 185
919 304603 108
920 155647 115
921 9520 166
921 72801 61
921 184381 17
921 270600 49
922 80262 105
922 309306 131
924 250679 111
925 322350 44
926 276234 70
926 326205 94
927 26118 196
927 259181 117
928 40984 25
930 142511 171
931 240396 89
934 125784 97
934 197537 13
935 268871 93
935 343480 99
936 147719 6
936 288417 123
936 290055 147
936 327535 106
937 70647 68
937 121602 186
938 275742 73
939 276128 80
941 58710 54
943 90734 54
943 236298 20
944 351581 88
945 274055 193
947 120785 171
948 206943 43
949 150717 104
949 179787 136
950 56123 175
950 61319 168
951 24363 89
952 84369 163
953 128732 84
953 183672 59
955 285013 190
957 74174 96
957 150070 124
958 318449 69
959 350362 151
961 138725 92
964 156332 48
965 36109 120
967 76144 149
967 328656 84
967 337816 42
968 190388 62
969 120281 64
969 222260 104
969 323510 160
970 184657 104
971 65260 79
971 259790 143
972 283204 60
973 100925 48
973 138040 36
973 194219 155
973 345474 178
974 107560 139
976 21914 84
976 157877 167
977 134176 87
977 196397 18
978 3506 63
978 42899 130
979 75012 87
981 71958 193
981 228024 156
983 159686 177
984 182350 127
984 226712 32
985 94824 152
985 140941 84
985 204236 18
985 206211 156
986 76594 23
986 188057 17
987 56320 25
987 150502 183
988 65254 50
989 93162 170
989 133319 56
990 213063 106
990 219945 199
991 178612 40
991 186795 125
992 77198 3
992 299697 61
992 321121 77
993 141168 118
994 12673 98
994 329443 41
995 320986 85
995 327641 26
995 341646 16
997 80726 198
999 146328 90
999 227021 159
1000 291982 60
1001 74384 9
1002 190844 21
1002 306271 176
1002 306973 167
1003 6535 159
1003 60360 91
1003 318412 116
1004 40210 141
1004 132692 44
1004 245366 194
1005 235718 33
1008 297715 181
1011 111797 158
1011 207892 76
1012 140579 18
1012 226915 40
1012 249688 43
1014 17652 7
1014 101373 43
1015 140079 164
1015 326564 10
1016 165172 2
1016 267048 142
1016 326379 112
1017 220684 141
1017 225653 159
1018 77475 80
1019 188450 166
1020 38806 32
1020 45048 33
1020 160179 38
1020 314380 36
1025 99951 123
1025 332264 194
1026 282521 181
1027 31524 189
1027 292019 29
1027 292432 46
1028 187928 83
1028 225057 108
1029 72323 68
1029 276178 143
1030 203146 9
1030 205651 109
1030 254404 52
1032 145971 162
1032 157581 11
1032 284040 67
1034 322031 154
1035 227389 57
1035 283616 179
1036 108178 20
1036 324359 15
1037 218857 104
1037 256571 45
1038 230344 88
1039 172604 21
1039 190174 144
1039 331044 24
1040 250593 131
1041 12500 109
1042 192379 181
1043 28606 154
1043 74193 18
1043 106656 174
1043 177301 37
1045 24217 70
1046 7735 172
1048 212067 77
1049 62361 112
1050 59671 174
1051 56981 76
1051 212806 81
1052 99816 3
1052 138824 133
1052 273562 114
1053 209566 123
1053 263928 48
1054 205713 163
1054 346308 134
1055 123734 55
1056 156418 80
1056 173940 57
1056 272499 118
1056 343357 111
1057 234710 95
1057 330165 32
1058 32693 91
1058 91900 198
1058 214147 77
1059 105851 15
1060 339314 180
1061 83066 138
1061 188259 93
1061 306494 102
1062 43873 92
1062 242794 106
1063 312201 101
1063 336075 11
1064 186321 172
1064 278789 35
1066 115891 75
1066 181402 198
1067 315969 5
1068 258091 52
1068 343512 32
1069 160008 118
1069 304443 142
1070 226683 188
1070 284245 47
1072 42939 163
1072 262561 198
1073 237270 194
1073 291570 193
1074 137797 107
1075 213508 92
1084 14051 186
1084 19667 24
1084 258160 87
1084 259915 32
1084 290437 8
1087 116329 157
1088 36979 120
1088 127403 115
1088 224565 20
1088 230284 135
1089 4393 8
1090 191801 22
1090 231848 31
1091 32935 115
1091 260905 71
1092 179752 157
1093 119837 70
1094 279331 149
1095 236532 157
1097 213692 197
1098 57744 121
1098 77427 191
1099 18737 143
1099 203109 183
1101 168769 126
1102 114697 33
1104 38149 125
1104 157485 170
1105 118767 184
1105 168036 59
1107 122258 5
1108 162705 51
1109 230357 35
1111 242609 78
1111 292126 97
1111 314651 158
1114 132236 19
1114 308962 3
1115 194121 110
1116 127730 158
1116 219634 173
1116 338144 62
1117 20012 181
1117 70107 38
1117 218561 12
1117 344855 16
1118 153698 175
1120 12981 125
1120 282182 64
1121 26120 91
1121 46319 41
1121 234304 14
1124 337098 142
1125 7225 139
1125 123409 77
1126 115812 93
1128 58761 2
1128 116151 134
1129 134245 20
1129 168621 102
1130 195827 94
1131 106429 145
1132 197384 97
1133 155046 12
1133 193166 154
1135 236601 69
1135 324176 10
1137 113929 45
1138 283457 150
1139 327407 150
1140 161432 29
1142 123802 43
1142 302118 54
1143 108325 126
1143 204544 59
1145 89690 190
1145 295727 19
1145 298941 33
1146 293684 198
1147 135568 179
1147 183213 136
1148 86513 61
1149 15697 60
1149 69983 62
1149 154055 156
1150 136183 155
1150 197379 150
1152 234847 152
1153 111169 18
1153 112697 103
1153 165531 95
1153 194250 69
1153 265769 60
1154 215262 115
1155 44834 145
1155 53781 20
1156 272578 37
1158 8857 20
1158 60067 131
1158 242271 182
1159 115042 99
1159 277474 173
1159 307707 173
1160 176624 99
1161 42396 97
1162 68253 86
1162 73346 132
1162 264022 152
1163 141411 169
1163 228332 80
1163 291269 18
1163 321351 128
1164 306445 15
1165 248870 124
1166 29813 87
1166 342929 94
1167 178619 89
1168 94149 168
1168 142076 176
1168 209204 81
1169 82808 61
1169 120804 180
1169 164189 56
1169 322581 162
1169 343193 140
1170 151052 48
1170 190459 142
1172 166043 187
1172 271587 153
1173 74553 84
1173 138949 54
1173 216538 23
1173 221906 98
1174 21933 43
1174 212382 91
1174 253592 32
1176 92325 92
1176 95491 167
1176 219369 194
1179 23121 9
1179 103814 33
1179 213336 115
1180 11085 133
1180 162705 4
1180 231485 74
1181 131172 174
1182 156162 160
1182 233510 66
1183 280791 65
1185 150707 94
1185 347694 141
1188 195409 50
1189 34843 50
1189 134042 58
1189 305572 102
1190 338132 169
1191 149446 102
1191 262574 155
1193 303896 181
1195 284325 117
1196 60898 101
1196 239014 186
1198 187868 132
1198 282903 5
1201 26939 14
1201 252232 60
1202 284166 90
1204 346265 18
1206 93452 154
1207 281968 48
1207 348807 178
1208 135827 64
1208 159405 191
1208 269292 33
1209 329408 148
1211 9825 91
1212 157406 104
1214 319578 86
1214 352275 169
1215 38747 164
1215 241150 29
1216 17888 52
1216 75753 64
1216 168517 62
1216 272100 70
1217 109965 138
1217 187203 184
1218 279734 200
1219 146435 2
1219 290395 187
1220 23122 114
1221 30879 186
1223 65243 79
1223 285182 4
1223 293289 108
1224 55320 105
1224 131395 159
1225 11695 45
1225 322347 185
1227 1112 126
1227 14539 180
1227 314930 9
1228 180516 7
1228 184845 59
1230 74258 45
1232 347404 73
1233 228234 95
1234 1366 15
1234 298701 89
1236 251684 155
1237 4844 166
1237 26158 136
1238 20013 140
1239 140162 143
1240 128876 150
1240 198881 118
1240 249685 32
1241 45507 90
1241 247924 33
1242 237987 166
1243 59321 121
1244 38187 74
1244 130318 185
1244 243219 139
1244 270727 91
1245 228265 6
1246 38464 12
1246 130595 102
1247 161930 57
1248 37626 93
1248 101912 57
1249 206342 27
1249 249080 29
1250 280904 14
1250 311247 200
1251 139945 73
1251 215628 46
1252 153311 142
1252 348027 194
1254 50542 5
1254 154999 199
1255 28885 120
1255 239760 107
1256 328258 21
1257 3244 131
1257 53800 132
1257 124906 3
1258 182345 30
1258 321529 37
1262 349061 87
1265 330881 152
1267 351013 125
1268 38951 181
1268 119155 174
1268 123711 129
1269 62289 19
1271 98305 169
1272 38927 147
1273 29919 88
1273 88596 94
1274 228641 87
1275 261807 34
1275 295144 175
1277 52482 169
1278 32098 127
1278 130423 96
1278 254549 41
1278 333239 33
1280 198014 84
1280 325870 127
1282 114343 10
1282 259246 97
1283 46603 80
1283 277918 176
1284 72336 48
1284 164591 146
1284 322742 74
1285 203469 55
1286 2684 53
1287 22980 158
1287 80384 148
1287 106825 27
1287 188103 165
1288 217738 34
1289 20353 112
1289 118203 122
1289 160927 93
1291 89458 116
1291 232255 188
1293 48814 72
1293 96569 112
1294 156334 190
1294 208067 151
1296 11137 173
1296 286759 140
1297 84969 69
1297 254173 96
1297 323462 104
1299 150468 19
1299 164721 182
1300 145665 72
1300 260679 18
1301 33288 31
1301 156925 55
1302 210352 59
1303 250035 64
1303 292367 101
1303 298912 15
1304 248508 182
1305 151712 47
1305 303029 170
1306 50573 187
1306 170205 67
1308 77140 10
1310 174854 123
1310 234632 106
1310 236332 39
1310 352688 42
1311 36999 24
1312 66944 16
1314 143069 19
1314 187018 200
1316 41979 68
1316 56411 84
1317 235574 177
1318 44135 97
1318 54107 189
1318 185019 173
1319 4591 60
1319 230070 175
1319 306730 51
1320 261192 19
1320 328155 133
1321 150081 24
1321 331122 165
1327 98126 125
1327 216182 186
1327 236030 111
1328 196211 148
1329 100041 137
1329 185097 70
1329 276815 31
1330 339161 105
1331 51572 171
1331 304724 115
1332 13680 187
1332 67567 9
1333 217412 37
1333 331965 145
1334 103397 154
1335 39401 11
1336 330302 108
1337 20518 167
1337 216452 55
1337 280449 193
1339 313774 39
1340 46549 132
1340 181927 108
1340 280713 185
1341 141007 148
1341 165982 99
1341 340141 57
1345 345251 154
1346 125079 148
1346 251483 75
1347 69204 40
1347 293981 50
1349 116121 99
1349 247081 189
1350 244625 46
1352 144767 16
1353 212192 135
1354 126070 23
1355 251525 48
1355 278730 19
1356 308090 84
1357 186415 199
1358 285615 18
1359 10682 169
1360 129826 182
1360 324060 13
1362 50291 128
1362 225799 23
1363 243005 46
1364 79411 56
1366 184544 102
1367 119681 63
1368 43834 28
1368 71727 197
1369 9720 107
1370 39080 6
1370 221009 27
1370 336842 68
1372 34526 55
1372 228457 39
1372 333327 146
1373 211817 144
1374 54988 82
1374 106948 15
1374 168667 32
1374 216071 42
1375 139708 122
1376 108987 12
1377 82244 32
1377 92808 178
1377 244428 95
1378 19762 51
1378 102430 12
1378 247285 192
1379 105810 160
1380 20679 123
1380 27334 133
1380 59446 112
1381 46722 53
1381 221693 27
1381 284850 52
1383 176493 180
1383 220745 125
1384 5700 173
1384 30517 56
1384 121946 43
1384 215302 134
1385 162627 35
1386 65934 68
1388 79012 18
1389 93479 100
1389 289124 95
1390 102640 116
1390 330218 12
1391 90900 64
1392 46690 11
1393 51068 113
1393 122298 189
1393 293704 50
1394 224980 165
1394 272219 13
1395 76437 99
1395 180777 14
1396 49054 150
1396 207749 116
1396 348144 171
1397 195885 193
1398 315497 42
1399 111615 122
1399 201241 11
1400 137472 34
1400 297103 177
1401 110564 12
1401 180555 196
1401 301880 59
1402 61750 146
1402 111081 103
1402 250547 97
1403 83925 141
1403 257196 199
1403 347758 45
1403 352300 199
1404 136808 179
